Year,Sample_Size,Confidence_limit_Low,Confidence_limit_High,Display_order,GeoLocation,Age Group,Education Attained,Gender,Household Income_x,Overall,Race/Ethnicity_x,Aerobic & Muscle Strength Activity,Aerobic Activity 150+ min/week,Age,Alcohol Use (30 Days),Angina/CHD Awareness,Arthritis Awareness,Asthma Awareness,BMI Classification,Binge Drinking,CHD/MI Awareness,COPD Awareness,Children in Household,Cholesterol Check (5 Years),Cognitive Difficulty,Current Asthma Awareness,Current E-Cigarette Use,Current Smokers,Deafness,Depression Awareness,Diabetes Awareness,Doctor Visit Affordability,Dressing/Bathing Difficulty,Drunk Driving,E-Cigarette Use Frequency,Education Level,Employment Status,Errands Difficulty,Flu Shot (65+),General Health,HIV Testing,Health Insurance (18-64),Health Insurance Coverage,Health Status,Heart Attack Awareness,Heavy Drinking,High Blood Pressure Awareness,High Cholesterol Awareness,Household Income_y,Kidney Disease Awareness,Last Doctor Visit,Marital Status,Military Service,Mobility Difficulty,Muscle Strength Activity,Other Cancer Awareness,Physical Activity (30 Days),Pneumonia Vaccination (65+),Poor Mental Health Days,Poor Physical Health Days,Primary Healthcare Provider,Race/Ethnicity_y,Seat Belt Use,Skin Cancer Awareness,Smokeless Tobacco Use,Smoking Status,Stroke Awareness,Vision Difficulty,latitude,longitude,city
2023,789,13.1,16.7,67.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,1391,16.5,19.8,68.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,177,1.9,3.2,285.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,1994,91.9,95.1,282.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,194,4.9,8.1,281.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,324,45.5,57.1,1176.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,365,42.9,54.5,1175.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,477,39.7,48.5,1178.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,773,51.5,60.3,1177.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,559,41.7,50.9,1180.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,781,49.0,58.3,1179.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,627,42.5,52.4,1182.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,799,47.6,57.5,1181.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,720,44.3,53.7,1184.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,788,46.3,55.7,1183.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,1836,58.7,65.3,1186.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,1227,34.7,41.3,1185.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,1511,37.2,43.0,1210.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,2373,57.0,62.8,1209.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,1126,49.6,57.3,1206.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
2023,874,42.7,50.4,1205.0,"(31.827240407000488, -99.42677020599967)",18-24,College graduate,Female,"$100,000-$199,999",Overall,"American Indian or Alaskan Native, non-Hispanic",No,No,18-24 years,No,No,No,No,Normal Weight (BMI 18.5-24.9),No,Did not report having MI or CHD,Yes,Five or more children,Never Checked,No,No,Current E-cigarette user,Yes,No,No,No,No,No,Have driven after having too much to drink,Current E-cigarette user - every day,College+,Employed,No,No,Poor,Yes,Do not have some form of health insurance,Do not have some form of health insurance,Fair or Poor Health,No,Do not meet criteria for heavy drinking,No,Yes,"$100,000 - 199,999",No,5 or more years ago,Divorced,No,Yes,No,No,No,No,1-13 days when mental health not good,1-13 days when physical health not good,More than one,"MultiRacial, non-Hispanic",Yes,Yes,Not at all,Former smoker,No,No,31.8272,-99.4268,Coleman
